,task,valueA,valueB,action,logprobA,logprobB
36,9303,-6.0,2.8000000000000007,J,-0.7365896,-0.6726249
37,14162,21.200000000000028,25.150000000000002,F,-0.6435415,-0.77643406
38,10780,16.0,22.0,J,-0.81311524,-0.6178808
39,13949,14.0,1.25,J,-1.1177099,-0.41289297
40,12766,12.0,11.4,J,-3.1413074,-0.053702984
41,8320,15.0,9.0,J,-0.9096133,-0.54110205
42,3589,10.0,5.0,J,-1.6556114,-0.22049955
43,9522,10.55,13.0,J,-2.7337248,-0.07999634
44,153,-2.0,5.25,J,-3.2009394,-0.051716324
45,2578,28.75,30.6,J,-3.2561116,-0.051233865
46,2094,13.600000000000001,13.500000000000002,J,-3.3144295,-0.045089025
47,8906,-8.199999999999982,-8.0,J,-3.159684,-0.05566862
48,14486,-1.3,-0.6000000000000001,J,-1.0393068,-0.461815
49,12424,30.0,31.0,J,-0.7398515,-0.6723352
50,4517,11.700000000000008,11.0,J,-3.0150828,-0.06561028
51,1555,0.0,-3.3999999999999986,J,-1.039988,-0.45488024
52,276,6.0,13.0,J,-0.877628,-0.5575941
53,8634,27.0,25.5,J,-3.657751,-0.03668788
54,3495,14.000000000000002,14.0,J,-3.2663326,-0.047563583
55,14463,-3.2,-5.800000000000033,J,-0.9731209,-0.49300882
56,4047,-6.0,-2.0,J,-3.1161234,-0.056679375
57,3502,9.0,10.6,J,-3.0934768,-0.061214093
58,4451,14.0,10.9,F,-0.6293494,-0.79490346
59,1954,16.25,22.400000000000002,J,-1.2777159,-0.3433001
60,9007,-4.0,-3.0,J,-3.0254505,-0.060847256
61,4842,-2.0,-4.600000000000093,J,-1.207322,-0.3716325
62,7408,3.0,-2.5,J,-3.0973787,-0.06073502
63,7223,-4.0,-13.75,J,-1.3700402,-0.31005976
64,10125,1.4500000000000002,1.0,J,-0.91167516,-0.5339324
65,9701,16.75,21.31,J,-3.3674896,-0.04431234
66,3318,27.0,26.98,F,-0.40180993,-1.1567444
67,14251,2.0,-1.8000000000000016,J,-1.4893812,-0.2682128
68,12460,22.0,24.000000000000014,J,-2.9931817,-0.06297169
69,5243,27.0,28.600000000000023,J,-3.7533786,-0.03152765
70,5528,12.0,22.200000000000003,F,-0.6396126,-0.78214496
71,1346,30.200000000000003,22.600000000000005,J,-3.1271386,-0.055720165
72,6471,17.0,26.92,J,-3.654211,-0.03278168
73,5690,-4.550000000000001,-6.599999999999999,J,-1.1710241,-0.3879163
74,804,14.0,10.7,J,-1.2478874,-0.3559844
75,2042,30.0,30.0,J,-0.75057113,-0.67590034
76,7171,9.25,17.199999999999985,J,-3.3578303,-0.046375833
77,10979,14.0,14.299999999999992,J,-3.4071007,-0.043264784
78,1960,-2.0,-6.039999999999999,J,-3.1645677,-0.054254584
79,6041,8.0,8.599999999999994,J,-0.8106622,-0.6131696
80,9396,25.59,29.4,J,-0.8376013,-0.5942502
81,1477,15.0,21.67,J,-3.386539,-0.04371993
82,12666,19.139999999999997,26.25,J,-3.2052135,-0.04966956
83,11748,15.0,15.0,J,-3.4417863,-0.042069115
84,12657,21.0,15.0,J,-3.2270312,-0.049270492
85,5801,12.0,9.600000000000001,J,-3.1631556,-0.056557573
86,13043,7.0,-0.5999999999999996,J,-3.2807488,-0.050926745
87,9402,15.800000000000002,11.6,J,-3.1255383,-0.05197214
88,721,-3.0,-5.109999999999999,J,-1.0553266,-0.4510194
89,1665,1.8,-9.5,J,-3.125546,-0.053021137
90,1926,3.25,0.0,F,-0.709298,-0.71211904
91,6979,6.0,-1.25,J,-3.4018137,-0.04288874
92,8449,10.0,16.0,J,-1.4512227,-0.27952504
93,6334,25.0,22.200000000000003,J,-3.5143926,-0.03799996
94,9245,2.0,3.9,J,-3.3130717,-0.048656285
95,12086,-5.17,-0.40000000000002256,J,-3.3774207,-0.047235847
96,11659,28.0,30.999999999999996,J,-1.2995553,-0.3353296
97,7991,21.2,27.400000000000002,J,-1.2339554,-0.36048684
98,11304,30.0,27.400000000000002,J,-3.59951,-0.03631584
99,2001,-9.25,-0.7499999999999999,J,-1.3092266,-0.33426628
100,14052,2.0,-2.3999999999999995,J,-3.3704603,-0.044759855
101,8931,13.0,18.400000000000002,F,-0.6439922,-0.78495866
102,2563,2.0,-3.200000000000001,J,-3.3503172,-0.04804453
103,12746,15.0,22.400000000000002,J,-3.3456361,-0.044988517
104,10112,3.0,3.0,J,-0.8013093,-0.62066615
105,14081,23.0,20.5,J,-0.71298736,-0.7067923
106,8715,6.0,12.200000000000017,J,-1.1020575,-0.41983885
107,4929,-8.0,-9.39999999999999,J,-3.12,-0.0552133
108,2227,17.0,9.8,J,-0.9543482,-0.5161921
109,974,6.0,5.0,J,-3.1864989,-0.05368456
110,5263,-6.0,2.5999999999999996,J,-1.381436,-0.3084302
111,10985,18.75,11.400000000000002,J,-2.9417176,-0.066210665
112,2757,12.0,17.25,J,-3.5078647,-0.042870697
113,9838,17.0,21.050000000000004,J,-1.3174752,-0.3291597
114,1432,-6.0,-8.400000000000041,J,-1.1999344,-0.3761752
115,13980,30.0,31.400000000000038,J,-3.4919581,-0.038709495
116,12202,-2.0,3.2199999999999998,J,-3.3568351,-0.044516098
117,4831,2.0,5.4,J,-3.5534685,-0.0401074
118,4365,-2.0,-2.5,J,-1.6201389,-0.23251416
119,3870,14.0,12.600000000000001,F,-0.5879535,-0.85023683
120,4388,21.0,18.81,J,-3.5360987,-0.040748958
121,8436,24.869999999999997,25.29999999999996,F,-0.6171422,-0.81913996
122,9084,16.200000000000003,22.67,J,-3.3797898,-0.047669098
123,2842,-1.7999999999999998,0.9999999999999998,J,-3.1224117,-0.055677626
124,1949,13.0,17.25,J,-3.3294127,-0.04544663
125,13203,25.800000000000022,36.0,J,-0.9847579,-0.4869075
126,2615,-3.0,-5.4,J,-0.88241774,-0.5586416
127,476,6.0,17.3,J,-3.3503182,-0.044452287
128,1193,2.3499999999999996,1.65,J,-3.0887785,-0.056628026
129,14543,1.25,-9.999999999999963,J,-3.610603,-0.03651804
130,5638,23.0,23.0,J,-1.3171463,-0.32723248
131,10493,2.0,-5.6,J,-0.81317914,-0.60990536
132,6545,-9.0,-4.75,J,-1.1141533,-0.4167713
133,1029,4.0,9.25,J,-0.95354134,-0.512837
134,1145,4.9999999999999964,8.8,J,-1.3552557,-0.3130938
135,4007,21.0,20.0,J,-3.3929334,-0.043480534
136,782,18.0,13.99999999999992,J,-1.4643728,-0.2766173
137,683,-2.0,3.0,J,-3.138688,-0.05338398
138,7753,9.0,0.1200000000000001,F,-0.6400875,-0.77767986
139,8645,22.0,15.400000000000002,F,-0.49992737,-0.96838754
140,13958,29.0,24.400000000000006,J,-3.574641,-0.03809073
141,5118,11.6,19.400000000000002,F,-0.70171,-0.7237419
142,10502,-9.899999999999999,-19.8,J,-3.4794188,-0.04270086
143,7232,7.0,-2.0,J,-0.7717196,-0.6426779
144,10877,2.16,11.000000000000002,J,-1.0806606,-0.43073156
145,10461,-10.0,-7.25,J,-0.94481283,-0.5183526
146,9183,9.8,10.300000000000022,F,-0.6767383,-0.7449222
147,10393,30.0,29.60000000000001,J,-3.479491,-0.04331875
148,9099,-9.0,-3.8000000000000007,J,-0.80917376,-0.61701787
149,5173,25.000000000000004,27.85,J,-3.042842,-0.060698666
150,6785,22.0,28.400000000000002,J,-0.86175936,-0.58367944
151,135,18.6,24.25,J,-1.4176855,-0.28969485
152,10309,24.0,30.5,J,-3.6054351,-0.03540902
153,7057,0.0,3.0,J,-3.0762475,-0.061061513
154,3700,26.000000000000004,23.200000000000003,J,-3.3197854,-0.047830146
155,3812,5.0,6.1000000000000005,J,-0.7217189,-0.69374955
156,14054,13.0,12.3,F,-0.6323686,-0.7931448
157,12600,9.0,16.200000000000003,J,-3.2143312,-0.05330897
158,554,10.0,7.5,J,-3.502386,-0.041357193
159,6310,-2.1999999999999993,4.8,J,-2.9646542,-0.06469273
160,4789,8.0,14.999999999999984,J,-3.4331462,-0.038960516
161,4233,3.0,-3.5,J,-0.7888919,-0.6352626
162,561,-1.25,3.8100000000000005,J,-1.536563,-0.25850794
163,10471,23.0,23.400000000000027,J,-2.878297,-0.06693617
164,11342,6.0,8.100000000000001,J,-1.1190706,-0.4149309
165,11063,14.0,15.200000000000003,J,-3.2220657,-0.05399611
166,4655,-10.0,-11.0,J,-0.9347442,-0.5204814
167,2116,4.25,-0.7999999999999965,J,-1.3763955,-0.30403066
168,13825,24.90000000000003,14.199999999999989,F,-0.63894373,-0.77797043
169,7289,10.0,3.2999999999999994,J,-1.343997,-0.3161536
170,9145,24.589999999999996,22.0,J,-3.131014,-0.0569251
171,5916,19.0,18.8,J,-3.2548268,-0.04713756
172,11130,3.95,8.0,F,-0.636729,-0.78519523
173,7256,17.0,7.35,F,-0.5957265,-0.8463102
174,9466,-8.0,-13.000000000000002,J,-0.7978509,-0.6226914
175,1394,-2.0,-11.100000000000001,J,-1.0521961,-0.4488331
176,4232,-2.0,-0.3999999999999688,J,-0.75023407,-0.668136
177,9580,2.0,-5.000000000000002,J,-1.0272046,-0.4630795
178,8656,25.0,26.25,J,-3.6046393,-0.03456891
179,3178,20.75,21.0,J,-2.8596704,-0.069509506
180,12829,-4.0,10.5,J,-0.93216467,-0.51800287
181,10865,1.0,0.9,J,-0.818835,-0.6018799
182,1458,29.0,27.140000000000004,J,-2.945502,-0.06846128
183,9819,2.0,0.39,J,-0.72045,-0.6965852
184,4626,-1.2000000000000002,-1.6000000000000587,J,-1.3564209,-0.3150638
185,9835,14.0,10.0,J,-3.3274853,-0.04935415
186,8921,-5.0,3.80000000000003,J,-0.7719005,-0.648228
187,12330,4.3,6.4,J,-3.201296,-0.048692834
188,7766,1.0,-1.6,J,-3.650662,-0.03530373
189,13083,0.8000000000000003,6.0,J,-3.2854216,-0.049414393
190,5853,-1.0,-2.25,J,-3.1512213,-0.05446359
191,10421,28.41,17.400000000000002,J,-3.1713743,-0.054530494
192,9355,-7.0,-11.400000000000002,J,-0.9895733,-0.4849822
193,3774,2.0,-8.18,J,-0.8459027,-0.58334464
194,6491,-3.0,-1.8999999999999901,J,-0.73818535,-0.6863913
195,10961,14.0,12.500000000000002,J,-1.2219259,-0.3640309
196,696,8.0,11.9,J,-0.7913482,-0.62678605
197,560,5.2,2.2,J,-3.1303718,-0.051924735
198,846,17.529999999999998,22.6,J,-3.4999485,-0.039793342
199,12434,8.200000000000001,17.0,F,-0.4900182,-0.99255496
200,10691,1.0,-12.5,J,-0.9724243,-0.4998138
201,3275,12.3,4.73,J,-2.8755064,-0.06809006
202,7368,-9.8,-4.799999999999999,J,-2.9254541,-0.06723511
203,5509,-4.0,-0.6000000000000503,J,-1.1774495,-0.3858026
204,5840,12.0,10.0,J,-2.9701648,-0.065490514
205,12985,-7.200000000000001,-12.299999999999999,J,-3.2914886,-0.04962327
206,9638,-8.7,-11.650000000000002,J,-3.1545017,-0.05664714
207,7536,2.5500000000000003,3.0,J,-0.7316718,-0.6810698
208,8268,18.0,15.5,J,-3.5010643,-0.038265668
209,14384,13.0,15.5,J,-0.852344,-0.57762086
210,8505,7.0,7.75,J,-3.293098,-0.051872
211,12539,-3.0,-1.4,J,-3.2960665,-0.04675725
212,3256,-4.1,-4.25,J,-3.1792693,-0.04931783
213,8252,0.29999999999999993,-9.15,J,-3.2982447,-0.045050185
214,10946,30.0,29.400000000000016,J,-3.909123,-0.025944455
215,4131,28.0,33.800000000000004,J,-3.0975018,-0.056196637
216,11139,14.549999999999999,14.399999999999855,J,-3.1001728,-0.055384457
217,4519,8.0,6.9,F,-0.45543593,-1.0508815
218,4381,-6.0,-2.0,J,-1.1061742,-0.41973844
219,8227,-3.25,4.800000000000001,J,-3.1959486,-0.052958854
220,97,13.0,11.75,J,-1.392388,-0.30985507
221,1921,8.200000000000001,9.5,J,-3.1772492,-0.05208566
222,1558,4.0,2.5,J,-0.8384281,-0.5900551
223,1648,-2.0,-2.0,J,-3.151376,-0.05424067
224,366,15.200000000000003,6.75,J,-3.1999254,-0.054367926
225,6263,-10.0,-11.900000000000002,J,-0.71709365,-0.6967555
226,229,0.75,7.99999999999996,J,-1.2713964,-0.34588033
227,1003,7.199999999999997,-1.8000000000000256,J,-2.9425073,-0.065670565
228,128,5.0,8.700000000000003,J,-1.2194093,-0.36613014
229,10011,18.0,10.4,F,-0.617721,-0.8180976
230,1996,-1.0,-7.25,J,-3.364091,-0.044957153
231,3357,30.0,36.400000000000006,J,-3.604872,-0.035135675
232,9933,10.0,20.400000000000002,J,-3.1911957,-0.051246542
233,11409,29.0,16.8,J,-3.0202892,-0.061863508
234,8464,-9.0,-19.1,J,-3.0353677,-0.061378356
235,4909,13.0,6.800000000000001,J,-3.3125684,-0.04557226
236,13417,26.0,22.59999999999998,J,-1.2329278,-0.35921323
237,6591,-3.0,0.21,J,-3.3880525,-0.042692896
238,8278,10.0,9.25,J,-0.9134983,-0.53081554
239,13268,-2.0,-11.76,J,-0.8141926,-0.61576146
240,7079,1.0,-4.800000000000127,J,-3.6101882,-0.035277367
241,13888,-8.0,-8.400000000000002,J,-2.9407318,-0.06709742
242,345,16.0,14.9,F,-0.5868312,-0.84955126
243,1749,8.1,-0.03,J,-2.9737031,-0.06151393
244,11450,0.0,0.0,J,-1.012111,-0.48221898
245,951,20.0,9.25,J,-3.3870947,-0.041599683
246,12247,-0.20000000000000284,4.4,J,-0.7556046,-0.66623765
247,2467,25.8,27.799999999999972,J,-3.2591596,-0.04900798
248,11199,0.0,3.42,J,-3.564941,-0.038972665
249,10374,14.0,5.6,J,-3.0221105,-0.06195146
250,10872,9.0,16.200000000000003,J,-3.32475,-0.047635466
251,14440,0.0,1.8000000000000038,J,-1.5467094,-0.25013018
252,5554,2.8000000000000167,3.0,J,-0.7220051,-0.6983044
253,5868,-4.55,-7.0,J,-0.7767253,-0.63901657
254,4999,-2.0,-8.35,J,-1.2557203,-0.35532963
255,7597,23.0,26.5,F,-0.56581646,-0.8696265
256,9344,6.0,9.9,J,-3.2764263,-0.049257215
257,9036,7.08,11.499999999999783,J,-1.179827,-0.38530564
258,7572,-9.8,-6.999999999999965,J,-3.1407554,-0.056754254
259,11358,4.640000000000001,7.91,J,-0.7344934,-0.6789552
260,7914,-1.0,-15.5,J,-3.3858218,-0.043548085
261,3258,-5.200000000000001,-10.600000000000001,J,-3.3109353,-0.04739364
262,5787,27.0,24.840000000000003,J,-0.98175234,-0.5041561
263,11688,16.0,18.799999999999955,J,-0.94091356,-0.522878
264,2359,-9.0,-12.200000000000065,J,-1.44439,-0.2818707
265,5032,29.73,30.0,J,-0.8288465,-0.5982825
266,12406,19.0,31.39999999999992,J,-3.7223709,-0.029088195
267,776,20.0,21.75,J,-3.3034894,-0.050107643
268,10840,3.0,-5.199999999999999,J,-0.93101907,-0.52411294
269,11865,15.0,13.5,J,-1.4726981,-0.2734928
270,4939,17.0,17.35,J,-1.1949347,-0.3795756
271,9310,-2.0,-0.75,J,-1.1445329,-0.4005238
272,2502,9.0,6.5,J,-1.1241697,-0.4110577
273,6956,9.0,6.9,F,-0.5692968,-0.8703012
274,14031,5.899999999999995,6.0,J,-3.0794826,-0.059072282
275,4090,16.0,16.0,J,-3.2467775,-0.05359758
276,3883,-10.0,-3.5,J,-3.0309699,-0.061390143
277,1298,-5.0,-5.0,J,-3.120018,-0.06391149
278,9560,-9.0,-11.350000000000001,J,-0.88047695,-0.56042385
279,8191,27.25,30.000000000000004,J,-3.5262945,-0.03831676
280,439,-8.0,-5.00000000000012,J,-3.5940835,-0.036618814
281,3381,1.600000000000036,-9.700000000000001,J,-0.7970058,-0.62366015
282,5872,24.0,26.0,J,-3.5842865,-0.036490098
283,3391,14.0,19.6,J,-0.763908,-0.6521412
284,6645,18.0,16.71,J,-3.6938171,-0.033163
285,4910,14.0,13.100000000000001,F,-0.622555,-0.81243926
286,5210,24.1,16.000000000000004,J,-1.2823827,-0.34305346
287,10151,7.75,-1.599999999999996,J,-0.7805857,-0.6367887
288,12695,14.699999999999989,14.4,J,-3.0130484,-0.06093632
289,5034,7.0,0.5,J,-0.99026793,-0.4843093
290,10464,-10.0,-12.3,J,-0.9344147,-0.5232723
291,11007,9.8,14.0,J,-2.9670727,-0.06993053
292,6621,-7.799999999999999,-10.399999999999988,J,-3.017794,-0.06266068
293,11533,0.0,-0.19999999999999973,J,-0.8870126,-0.5571444
294,2920,-2.200000000000001,0.399999999999995,J,-2.9928942,-0.06448109
295,1991,9.0,12.25,J,-3.364795,-0.045739714
296,9167,16.0,16.900000000000002,J,-3.464349,-0.041963004
297,5884,20.200000000000003,21.5,J,-3.142768,-0.0540231
298,13115,29.89999999999998,24.199999999999996,F,-0.69045496,-0.7281366
299,11279,7.0,7.0,J,-3.0747511,-0.06737353
300,10081,14.0,12.599999999999998,J,-0.8410429,-0.5893321
301,2126,14.0,13.059999999999999,F,-0.64736086,-0.7748709
302,13171,-2.0,6.1000000000000005,J,-3.3006637,-0.045855526
303,5689,0.7999999999999989,-0.11,J,-0.748377,-0.67124385
304,4759,24.0,35.85000000000001,F,-0.49137354,-0.9880643
305,9631,24.0,31.1,J,-3.608173,-0.03533325
306,10529,-5.0,-2.0000000000000027,J,-0.8538378,-0.59127206
307,7586,26.800000000000004,22.849999999999998,J,-3.3761916,-0.044290096
308,9158,15.0,4.369999999999999,J,-0.83274615,-0.5986649
309,12412,1.0,1.5,J,-3.2828631,-0.049867272
310,13059,25.0,26.200000000000003,J,-3.4296634,-0.045100503
311,6402,0.0,1.100000000000007,J,-3.0878613,-0.05855309
312,9891,15.0,17.6,F,-0.69245154,-0.721386
313,4201,17.75,25.75,F,-0.6481886,-0.7671098
314,5670,3.000000000000001,10.5,J,-3.3500385,-0.04652069
315,9857,8.0,-0.75,J,-0.826584,-0.596859
316,4912,23.800000000000004,35.80000000000001,F,-0.70964766,-0.7131153
317,6419,-6.01,-14.17,J,-2.8505127,-0.07349535
318,9609,-6.999999999999984,-7.0,J,-0.9672534,-0.5043628
319,4115,16.8,15.600000000000003,J,-1.1788214,-0.38760367
320,6120,18.25,21.5,J,-1.190607,-0.38027754
321,12863,5.0,-0.5999999999999996,J,-0.8551245,-0.5787095
322,11074,23.15,30.0,J,-1.4840795,-0.27008644
323,7106,-1.0,0.4,J,-3.2544844,-0.049171813
324,4569,10.0,3.4000000000000155,J,-1.078042,-0.43466476
325,10737,26.0,19.0,J,-3.772812,-0.030334892
326,3709,-2.0,1.599999999999953,J,-1.4307199,-0.28713468
327,13570,9.0,8.200000000000001,J,-3.2570305,-0.050613444
328,4326,-8.200000000000003,-4.999999999999955,J,-1.1761202,-0.3864605
329,11939,17.0,17.519999999999996,J,-1.4244093,-0.28868234
330,7842,16.200000000000003,12.700000000000001,J,-3.2894993,-0.04650502
331,12145,15.0,17.5,J,-3.2839746,-0.044211537
332,14479,4.0,7.9,J,-1.0801052,-0.43150374
333,6556,8.0,12.450000000000003,J,-3.7665086,-0.030547064
334,5930,21.0,14.5,J,-3.2645671,-0.05083386
335,4343,13.900000000000002,13.0,F,-0.63354963,-0.8055924
336,11813,11.0,11.200000000000001,J,-3.402585,-0.04592061
337,7413,24.0,25.200000000000003,F,-0.55191326,-0.8934183
338,13097,12.75,11.999999999999961,J,-1.3190693,-0.3251556
339,7277,-9.0,-8.700000000000001,J,-0.81609786,-0.60718966
340,3770,4.58,-2.0,J,-0.8094303,-0.6102382
341,6799,30.2,31.0,J,-2.732483,-0.08402445
342,251,13.750000000000002,6.750000000000001,J,-3.1806087,-0.049321897
343,11701,-8.11,-9.4,J,-2.8545732,-0.071200185
344,5494,23.900000000000002,22.0,J,-1.0634946,-0.44278604
345,14171,-6.0,-2.4000000000000004,J,-2.7172608,-0.08059552
346,13765,22.0,20.2,J,-3.296109,-0.048157543
347,4348,22.0,23.4,J,-3.605032,-0.037883878
348,9696,-4.0,6.400000000000006,J,-1.3223901,-0.326468
349,4828,7.0,10.95,J,-3.6213477,-0.03547145
350,5119,-4.0,-4.399999999999999,J,-3.0940413,-0.058519214
351,4009,24.0,23.399999999999903,J,-3.5161366,-0.037178706
352,9766,13.0,12.450000000000001,F,-0.32127395,-1.3489361
353,2723,16.0,12.5,J,-3.0652835,-0.058701552
354,7208,9.699999999999992,11.889999999999976,J,-1.2446363,-0.35665873
355,13698,3.0,6.2,J,-1.1647673,-0.40489095
356,12324,-5.0,-3.0,J,-0.968322,-0.50131524
357,9136,19.0,24.6,J,-0.8333057,-0.5944351
358,5795,6.0,4.0,J,-3.3743827,-0.043341406
359,2357,-7.25,-9.600000000000001,J,-0.8608058,-0.5738891
360,1582,29.0,30.75,J,-3.5652673,-0.03673729
361,3486,20.000000000000004,21.150000000000002,J,-0.98961544,-0.48938838
362,5233,3.0,4.799999999999999,J,-3.2047365,-0.05573832
363,5475,25.25,23.0,J,-3.1733396,-0.054159317
364,1293,23.0,29.25,J,-3.8108842,-0.028474873
365,10644,9.0,11.000000000000002,J,-1.2672153,-0.34983206
366,12073,-7.800000000000001,-8.0,J,-1.055004,-0.451395
367,14347,18.0,10.8,F,-0.5772593,-0.86706954
368,2535,-2.0,-1.01,J,-0.72421753,-0.687566
369,4564,29.0,31.600000000000005,J,-1.1954497,-0.3758238
370,3193,15.000000000000004,11.8,J,-0.85604733,-0.5798709
371,6115,23.86,22.0,J,-2.9628506,-0.06406222
372,8212,10.0,13.299999999999994,F,-0.6370638,-0.7966365
373,8582,5.0,2.400000000000003,J,-3.409476,-0.041764114
374,6261,2.0,-4.8999999999999995,J,-1.2904179,-0.33838588
375,10479,27.0,38.400000000000006,J,-3.9675388,-0.024799438
376,1842,5.8,13.999999999999988,F,-0.5962996,-0.84404325
377,764,16.0,22.8,J,-3.4168384,-0.046391446
378,11453,9.0,9.400000000000002,J,-3.3431814,-0.048076674
379,14513,-7.0,-8.169999999999984,J,-1.3729931,-0.31077543
380,10248,24.0,18.32,J,-3.2872365,-0.04822297
381,7353,9.800000000000011,12.4,J,-2.9931948,-0.06428574
382,1303,5.0,5.0,J,-3.6780448,-0.031358197
383,7577,5.0,10.600000000000001,J,-1.0527309,-0.44505715
384,12480,1.7999999999999992,-1.5,J,-0.96138924,-0.5061911
385,4116,7.0,8.5,J,-3.4876556,-0.03986174
386,11665,-7.0,-2.6000000000000716,J,-1.4751903,-0.2728644
387,2486,-8.0,-1.75,J,-2.9803972,-0.0642464
388,11752,7.700000000000001,1.0,J,-0.9731237,-0.49242428
389,7094,23.0,27.64,J,-3.6735058,-0.032812472
390,11485,29.0,17.6,J,-0.74635065,-0.67086536
391,1671,4.0,-0.39999999999994884,J,-0.77221113,-0.6425878
392,3558,25.8,32.800000000000004,J,-2.8991687,-0.069987044
393,4444,20.0,19.399999999999988,F,-0.5789792,-0.857496
394,6628,11.0,11.0,J,-0.8803219,-0.5544457
395,4071,9.0,2.75,J,-0.88031954,-0.56085575
396,1617,15.550000000000002,16.0,J,-0.955499,-0.5056317
397,10320,20.0,15.399999999999812,J,-3.545982,-0.035192102
398,11982,7.7,4.2,F,-0.60981965,-0.8270801
399,133,4.12,4.400000000000001,J,-0.94871444,-0.51538014
400,4951,25.0,23.340000000000007,J,-1.5379927,-0.2537406
401,7203,1.0,-1.0,J,-1.3871475,-0.2993944
402,9848,19.800000000000004,25.75,F,-0.5884475,-0.8387489
403,8496,7.0,8.200000000000008,J,-3.3452768,-0.045426734
404,10189,21.000000000000004,20.15,J,-1.6761814,-0.2187572
405,7693,20.100000000000005,16.39999999999999,J,-0.7715352,-0.657182
406,3075,-8.75,-10.42,J,-3.194896,-0.0516845
407,4717,2.0,5.4,J,-3.3963537,-0.04681515
408,1080,-9.0,-10.83,J,-3.4038355,-0.0427133
409,12953,29.0,33.25,J,-3.5579565,-0.03732477
410,4595,0.06,3.0000000000000004,J,-3.0579123,-0.056100808
411,5272,11.100000000000001,17.75,J,-0.80922407,-0.6199083
412,10866,-4.0,-2.5,J,-1.2623386,-0.34808928
413,7360,20.0,14.600000000000001,J,-3.3434758,-0.044477962
414,10764,15.0,15.0,J,-3.146394,-0.053248934
415,2003,5.0,7.25,J,-3.5453916,-0.037791025
416,10126,16.200000000000003,16.0,J,-0.88080525,-0.56937903
417,11545,26.0,33.82,J,-3.7040994,-0.032323923
418,597,13.0,11.500000000000012,J,-1.2266645,-0.37255013
419,8787,6.75,4.800000000000004,J,-3.2593305,-0.0488242
420,5753,17.0,22.530000000000005,J,-3.5197995,-0.036767215
421,7482,22.2,16.35,J,-1.0389814,-0.46745005
422,7648,24.0,32.400000000000006,F,-0.6737704,-0.7388644
423,5373,-10.290000000000001,-13.75,J,-1.3251798,-0.33121848
424,1457,15.87,7.600000000000001,J,-2.8153703,-0.07649994
425,984,25.0,23.32,J,-3.604759,-0.036189944
426,3512,-6.999999999999989,-5.800000000000226,J,-1.3373659,-0.32656452
427,9505,-1.0,3.2,J,-0.97620136,-0.4928468
428,12707,4.0,-3.0000000000000018,J,-3.280599,-0.05027918
429,6356,-7.0,-12.200000000000001,J,-1.3973253,-0.31410378
430,3504,-2.0,-5.5,J,-0.9196803,-0.53462476
431,1242,6.0,9.000000000000002,J,-0.90784967,-0.54201454
432,14304,-8.0,1.7,J,-2.910832,-0.06806638
433,7722,9.600000000000023,9.199999999999983,J,-2.9332788,-0.06484593
434,1339,26.0,29.99,J,-4.003391,-0.024093429
435,9804,20.0,21.599999999999998,J,-1.4456384,-0.28056884
436,8571,6.0,7.800000000000001,J,-3.142446,-0.05556049
437,4948,4.75,6.369999999999999,J,-3.1907985,-0.051085565
